tweet,label,Stance_number
@user Your choice to risk being injured by a novel vaccine as well. We all make our choices I hope it works out for you. I trust my immune system and flu is more dangerous to my kids than covid19 is. Easy decision to pass in that rushed mess of a vaccine.,AntiVax,0
It's sad that @user announced they have a 90% effective vaccine for COVID but also announced that they aren't a part of @user Operation Warp Speed so it will still be several years before @user approves its use. If FDA approves it then @user was part of OWS.,Neutral,2
"From good news regarding the vaccine developed by Pfizer-BioNTech, to India reaching a 37-day milestone - here are the top news updates on the Covid-19 pandemic https://t.co/Enwd3Ak5hu",ProVax,1
Coronavirus Ireland: Dublin scientist working on Oxford vaccine says life could be back to normal by late spring https://t.co/UPXW6se6ZR,Neutral,2
Good news. #anzionmukaan #COVID19 #covid #CovidVaccine #vaccine ⁦@user https://t.co/23nYnv66ID,ProVax,1
Can anyone give us a crystal clear explanation?and just wondering why the children are not going to have the vaccine?because their immune system is strong?And why is it 90% accurate and not 99.9%.sound a bit questionable! https://t.co/NyF25MzrZ9,AntiVax,0
Y’all thought we forgot? This mf said they was gon make doses even before they knew if it worked or not. And now they talking about making the shit mandatory 😐😐😐#vaccine #COVID19 #yougotmefuckedup https://t.co/rku8rpdmdx https://t.co/6hCXXPQ3pf,AntiVax,0
@user Okay. People who think COVID-19 isn’t real also think that vaccines cause autism and are made with mercury,ProVax,1
"The first 3,900 doses of the Pfizer-BioNTech vaccine arrived at #Calgary International Airport Monday evening, Premier Jason Kenney called ""a game-changing moment in the fight against the pandemic."" Live reports on @user #yyc https://t.co/emyUAh7jmN",ProVax,1
"@user There is no way in hell I would put a vaccine into my body that comes out under or is advocated by the trump regime. More than obvious reasons. In fact, I trust #COVID19 more than I trust the trump regime. 🙄🦠#trumpvirus",AntiVax,0
Listen my friends I know this COVID-19 fiasco got some of y’all going bonkers & got y’all hella paranoid but Do not take that vaccine.. Again ❌DON’T❌ take the vaccine... #CarryOn,AntiVax,0
"@user I’m sure I’ll regret this, but one question; How is the flu (we have a vaccine) and corona (we don’t have a vaccine) remotely the same?",AntiVax,0
"There'a lot of information about #Covid_19 around, not all helpful. As well as the usual official channels, two people with useful things to say are: 1. @user on vaccine developments, & 2. @user on the hospital situation I think both are worth checking in on.",ProVax,1
"@user I won’t have the vaccine. I don’t think it’s safe. We”ve never been told recovery rates, we”re given no data to compare COVID-19 statistics to, and I trust my immune system far more than I trust the Government.",AntiVax,0
@user Hope some vaccine results will come with 99 % success rate soon for Covid-19,ProVax,1
"Distribution, lack of national registry top hurdles for Canada’s COVID-19 vaccine rollout https://t.co/ijdhHkwrjw",Neutral,2
Let's see if I got this: we are celebrating a vaccine that is 90-95% effective if you take it against a disease that 98% of us won't get if we don't take it. https://t.co/YgHwVfIp8p,AntiVax,0
This article creeped up on my timeline. Wish that I had read it earlier. It is informative and it's nice to know that there is some agreement to help lower-income countries gain quick and fair access to Covid-19 vaccines. The T&C's are worrying though 🤨🤨🤨,ProVax,1
Three cheers for medical research! The possibility of a vaccination against COVID-19 is a reminder how far health care has improved. Let's make sure everyone can benefit. Help fund research to develop a vaccine against Alzheimer's. £10 https://t.co/guzZRZtRrE https://t.co/99nFpApjYX,ProVax,1
@user And of those whose professions require them to travel and has done before COVID or a vaccine? As current travel restrictions even exempts those travelling for work purposes.,ProVax,1
"@user I don’t know what to think at this point. I know a woman at work who’s sister is a physically fit specimen. Covid...medically induced coma, ventilator, heart attack... I’m all for freedom and rights. Like to think the vaccine will work and it would be nice to have it if it did.",ProVax,1
I don’t believe a word of it! #COVID19 #vaccine is #DNA changing. What are long term effects? Do you know what’s in #vaccines? @user https://t.co/Wx05pVI6QG https://t.co/kbHiuzNgMz https://t.co/8dRqP4g4kH,AntiVax,0
Thread on the vaccine! https://t.co/hFCUWEsrii,Neutral,2
Passing the holidays this year amidst the COVID-19 pandemic can be stressful. You can cut the flu out of your list of worries by helping your community discuss the importance of seasonal flu vaccination and addressing seasonal flu vaccine hesitancy. https://t.co/AiCOInhlpD,ProVax,1
Err:509,AntiVax,0
"To all of my followers, please share this info with your friends and family if they are worried about the vaccine. No vaccine is fully 100% safe of course, but this is literally the safest and most advanced method of creating a vaccine yet. https://t.co/SlcsD017Cb",ProVax,1
When you discover you're sharing an office with an #anti-vaxxer who says they'll leave the country before getting a Biden mandated COVID #vaccine shot and telling me how more people have died of the #flu than #COVID19-this year Pray for me 🙏,ProVax,1
"@user My family don't want there's & there's plenty others too 🙄 virus has 99+% recovery rate, ave age death to #COVID19 is 82. Given history with swine flu vaccine Pandemrix now banned & obvious #ConflictOfInterest from #BigPharma I'll pass 🤣 https://t.co/jGAvd8WH0y",AntiVax,0
@user Do the pharmacies have the ultra cold freezers for the Pfizer shots? Logistics were never thought through. It’s a mess.,Neutral,2
@user Where’s Pfizer? Why is all the doses not being distributed? Even one half of the vaccine gives great protection to Covid. Just do something decent for America. That’s your job.,ProVax,1
"Covid-19 vaccine from Pfizer and BioNTech is strongly effective, early data from large trial indicate https://t.co/Me3nzbxId1 via @user",Neutral,2
From FireEye to Twitter to Covid-19 vaccine research ⁠— these were the biggest cyber attacks of 2020 https://t.co/gakyigiB8k via @user,Neutral,2
"FYI Apotex is the largest producer of Hydroxychloroquine, which if allowed to “pass” is a huge a threat to the vaccines being manufactured by Pfizer, Astra Zeneca and Moderna It is safer and cheaper than both by a long shot There is a reason the owner and his wife wound up dead",AntiVax,0
Ok yeah ill see you all when that Pfizer vaccine has arrived. ✌🏽 https://t.co/lUtCDU8652,ProVax,1
"@user Trump didn't do anything about COVID and the https://t.co/84bJjXgoZL for the Vaccines he said he would have the drug companies try to see who gets it done.He didn't do anything a name OperationWarpSpeed,is BS",Neutral,2
"Red Cross leader urged countries to combat COVID-19 vaccine misinformation, which he called a 'parallel pandemic' to the disease https://t.co/w5bCsCxyF3 https://t.co/lYzQTYVcs2",Neutral,2
"@user It's a shame isn't it, we now have a vaccine for the covid pandemic but have yet to find a cure for stupidity, they are either to stupid to understand or just hate black and brown people more that they are willing let this happen and agree even at the expense of their own life",ProVax,1
@user Our own immune system is 99.85% successful in defeating Covid19 so why would we risk an experimental vaccine only a debatable 90% successful. Which has never been used on humans & has been rushed through by a dishonest government who has lied about the whole thing.,AntiVax,0
@user There is no COVID-19 cure. This is a lie. You know that. There is no vaccine yet either. #Shameful,AntiVax,0
"Great day yesterday! #Biden's Covid task force ready, & news on 2 #COVID19 escape routes: 1. Lilly has antibody drug to treat high-risk Covid cases. 2. #Pfizer can roll out a #vaccine next year - almost as effective as the chickenpox vaccine! https://t.co/zSqoMrE753",ProVax,1
"Scientists are in a race to get a Covid vaccine ready before Christmas, with Ministers believing it is the only way to get Britain out of its current cycle of lockdown and other restrictions on personal freedoms. https://t.co/74uAPLomUj",Neutral,2
"@user Listening to this audio, it appears as though COVID-19 and vaccine only applies to the United States, not happening anywhere else... I hope that BioNTech delivers their vaccine to Europe and, particularly, to Turkey at least as early as to the US (it's a Turkish-German vaccine).",ProVax,1
"Moderna CMO: Vaccine Should Keep You From Getting Sick from COVID, But Maybe Not From Spreading It https://t.co/noOknhX246 you can not make this shit up!",AntiVax,0
These man think we are stupid. You couldn’t even structure a proper lockdown yet vaccine is ready in a few months? Yea low it https://t.co/YOruG1Does,AntiVax,0
UK's coronavirus vaccine taskforce chief faces questions over biotech fund https://t.co/MJZkM79FlN,Neutral,2
@user also the fda hasn't approved any vaccine for covid-19,Neutral,2
NEW: #Pfizer will request emergency use approval from the FDA for its coronavirus vaccine today. The company says it can produce up to 50 million doses by years end. $PFE @user #CovidVaccine #pharmaceuticals https://t.co/7vYXoXSFis,Neutral,2
Pfizer says its coronavirus vaccine is more than 90% effective https://t.co/KTw0LJ1ZIv,Neutral,2
"They say people who took the COVID vaccine have an ""unexplained illness"" but we all know what that is. https://t.co/lB9RZpFrQY",AntiVax,0
NPR is doing a piece right now about the new coronavirus vaccine and they just asked listeners to call in and let them know if they would take the vaccine . Who the fuck is out there thinking about not taking the vaccine???,ProVax,1
"So 48 hours post Pfizer COVID-19 vaccination, no side effects at all. Just another shot in the arm.",ProVax,1
"Literacy programmes, vaccine funder, Dolly Parton WonderWoman! https://t.co/ObTULlG14P",Neutral,2
@user How much time it will take to complete human trials?,Neutral,2
According to @user Morrocco is the first country in the world to implement a #Covid_19 vaccine....way to go 🙏🏿🖤 https://t.co/vVxpT0kS3z,ProVax,1
"@user Over 2,000 deaths a day from COVID-19 is not worth mentioning. What’s the matter with you, Sycophant? Smaller hands? Sick! The media has been all over the hopeful excitement about vaccines. Even when Media gives Trump credit, you twist it as negative w disinformation. https://t.co/ew27ThIvUG",ProVax,1
I’m depending on this group and Dr Fauci to tell me a vaccine is safe. https://t.co/UlRc4N3vIX,ProVax,1
@user Absolutely your choice - but I’ll take my chances with the vaccine rather than Corona - that’s my choice,ProVax,1
"@user The Sinola cartel and Pfizer agree with this aswell! Why hurt their profits is what i say, i mean yeah the government used drug control as an explicitly racist tool and lie about drugs constantly but im sure they were just wrong about weed. Just invested my money in Narcan stocks",Neutral,2
Promising news in search for a Covid-19 vaccine https://t.co/TG13fpVzmR,ProVax,1
"@user So far over the past 5-10 years, NO ONE has created a successful vaccine for any of the RNA-based (Covid-type) viruses (SARS, MURS, flu, etc.), and they’re still working to do so.",AntiVax,0
EMA organises public meeting on COVID-19 vaccines | European Medicines Agency https://t.co/9JaIUHIq4k via @user,Neutral,2
The global competition to find a Covid-19 vaccine. Who are they? https://t.co/CCsPhzljfC,Neutral,2
"As we are getting better at treating COVID, we must learn from early mistakes. Promoting treatments without evidence of efficacy is unsafe. There is no miracle cure - we must practice social distancing until there is an effective and widely available vaccine. https://t.co/zwmD7IKpBz",AntiVax,0
"@user what do you think of this article: If you're pinning your hopes on a Covid vaccine, here's a dose of realism | David Salisbury https://t.co/k9RdnD9uSo",Neutral,2
@user BOYCOTT TALKRADIO this Pfizer covid vaccin is poison ! It tales 8 to 10 years to fully test a vaccine ! STAY AWAY https://t.co/QXOA9xLhg0,AntiVax,0
"Americans could begin getting COVID-19 vaccines as early as Friday, an FDA advisor says https://t.co/XQcVAUTgHI https://t.co/Re7WEvs9HX",Neutral,2
"What happens if someone refuses vaccination? Ethicists urge clarity on COVID-19 rollout https://t.co/YcHlrRVpYE YOU WON'T BE ABLE TO: GET A JOB TRAVEL GET EDUCATED BASICALLY THIS DRACONIAN, TOO MUCH GOV'T IN OUR LIVES, ENFORCEMENTS WILL CREATE THE GLOBAL ECONOMIC COLLAPSE!",AntiVax,0
"to provide vaccines for the general public. Similar stories happened for the early corona-test kits back in May, where they were the few gifted dose of the test were exclusively used for officials and their relatives. 4/5",Neutral,2
PH scientist discover the Corona Virus Vaccine Thanks PH scientist Keep healthy and safe God bless all https://t.co/fqKnnVBVq1,ProVax,1
"This is fucking GREAT NEWS!!! This plus a Biden win has renewed my spirit. Y'all. We're gonna get thru this. There is light at the end of the tunnel.💖🇺🇲 ""Pfizer and BioNTech announce trial data showing COVID-19 vaccine is more than 90% effective"" https://t.co/4R3uXHvRxA",ProVax,1
The United Kingdom of Minnesota and Northern Michigan has declared war on Mid Dakota Casus belli: corona vaccine shipments,Neutral,2
"We work tirelessly to secure doses of potential coronavirus vaccines. Tomorrow, @user will authorize a contract for up to 300 million doses of the BioNTech & Pfizer vaccine, the most promising so far. This is the 4th contract. More will follow. https://t.co/uCJV6Xccz7",Neutral,2
https://t.co/2tFslOHX7j Cumo.publiy said he wont accept this vaccine e until his ppl approve it Stop the bullshit lying Cuomo is on video multiple times saying it's not welcome in NY https://t.co/acviuC9N0a,Neutral,2
@user Aren't you the littlest embarrassed that you can't supply us with vaccines along with the rest of the developed world? https://t.co/88LiASNm4C,ProVax,1
Scientists race to find 'warm' Covid vaccine to solve issue of cold storage https://t.co/JqUXHyiSdN,ProVax,1
"The American Committee of Experts grants approval for the ""Moderna"" vaccine against # Corona.",ProVax,1
"""More than 137,000 people in the UK have received the first dose of the Pfizer/BioNTech COVID-19 vaccine in the first week of the largest vaccination programme in British history."" https://t.co/ub3ic6GWcb @user",ProVax,1
FINALLY A STEP IN THE RIGHT DIRECTION 🥲 FDA approves Pfizer’s COVID-19 vaccine for emergency distribution in the US https://t.co/ZIyRylAcUN,ProVax,1
Na that vaccine go kill you...... U dey there with your face wen resemble cat wen lost her period.... Mumu https://t.co/c7mSa7jnai,AntiVax,0
"I swear to god when the corona vaccine comes out, if the anti vaxxers aren’t gonna get it, it’s on sight",ProVax,1
Biden elected on Saturday. An effective vaccine announced today. I am so not used to hearing this much good news! https://t.co/X1nee7ELN4,ProVax,1
"@user Where would we be if they said that about the polio, rabies, smallpox vaccines just to name a few viruses? There are deadly viruses that require a vaccine and there are non lethal ones that don’t. Covid-19 has already proven to us it is lethal.",ProVax,1
"Moscow, Moscow, drinking vodka all night long 🎵 Keeps you happy, makes you strong, hoh-hoh-hoh-hoh-hoh, hey! 🍺 🎵 #vacuna #RussianVaccine",Neutral,2
Time needs to be given to see if these vaccines produced in so many countries have any nasty side-effects as so many drugs can. Have people forgotten thalidomide and it’s devastating effects on unborn children? https://t.co/03zHGhYm8L,AntiVax,0
Corona virus..we keep being told it won't go away. We need a vaccine before we can return to normality. Germany are lifting their lockdown..Greece hardly any fatalities talk of lifting theirs. They haven't got a vaccine. I am beginning to think we are headless chickens.#Clueless,Neutral,2
@user I'm sure all the scientists working on the Oxford vaccine were British & that no cooperation across borders was conducted. Currently a German-Turkish-German-American vaccine is saving the UK. What an utterly idiotic article.,ProVax,1
This is why the lockdown and border closures were worthwhile - buying time can get you to a vaccine. https://t.co/p6YoiikJvn,ProVax,1
Not rabies but first corona vaccine should be given to him for test #ArnabNeedsRabiesTreatment,Neutral,2
"Over 250,000 Libyan children are at risk due to severe shortages in vaccines, said @user and @user in a joint statement. The situation is made worse by the continued armed conflict and the COVID-19 pandemic. #Libya #ArabiaPolicy",ProVax,1
"The coronavirus (COVID-19) is a rapidly evolving threat, and the synthetic DNA that can help discover a vaccine and treatment is needed now — not in eight to ten weeks. Learn more: https://t.co/8QSZ6Yk4nf #covid19 #coronavirus #research https://t.co/tHle6098XK",ProVax,1
"@user 737 already passed away today. England & Scotland have already started administering the 1st COVID vaccine. Congratulations to England & Scotland. What is Americas plan? Wasting time? 1st should be all medical employees, law enforcement, EMT/paramedics/fire, then senior homes.😷",ProVax,1
Hallelujah We now have a vaccine for Covid. Trump gas been on top of this virus since China decided to tell our government and Trump went to work to save lives of our people https://t.co/iN3xkNXgAy,ProVax,1
"Wont be takening any vaccines that replying to @user recommends because he has been taking Coronavirus drugs and now he's gone Booker's 🤡 and he's a racist 🤡 https://t.co/qbweyKYsko",AntiVax,0
The covid vaccine turns you into a bat. Pass it on.,AntiVax,0
How can Pfizer say one thing about its vaccine last week and say something else the following week after a Moderna press release? Did Pfizer ran an entire study in one week? Give me a fucking break. FAKE NEWS https://t.co/jx3Ewz3xIZ,AntiVax,0
@user I am writing to you in concern of the racism and speech of hate posted by the general manager of Sanofi pasteur in EGYPT Dr. Nibal Dahaba. She posted on her Twitter and Facebook accounts a speech of hate against the healthcare professionals on may 25th 2020.,Neutral,2
Key Words: ‘Help is coming — and it’s coming soon’: Dr. Fauci outlines when COVID-19 vaccine will be available to all Americans https://t.co/CVAq5gqtRz https://t.co/UfVs8ebJUv,ProVax,1
whoever discovers a vaccine for COVID-19 ! deserves a NOBEL PRIZE!🙏 #corona,ProVax,1
"During the presidential debate last night, President Trump made several misleading statements about COVID-19, including his promise, “You’ll have a vaccine soon.” See 9/29 at the PANDEMIC OF MISINFORMATION blog for details @ https://t.co/vPZmt4Czsx",ProVax,1
@user What? How is that an odd headline and how did you even form that conclusion? The snow is going to inhibit traveling...and the trucks that are bringing COVID vaccines might be held up...due to the snow?,Neutral,2
“The standard coronavirus tests are throwing up a huge number of positive cases daily. These tests are done based on faulty WHO protocols which are designed to include false positives cases as well.” #COVID19 @user #ikvaccineerniet https://t.co/OloHKfC4St,Neutral,2
"Biden, who tested negative today for covid, has not been vaccinated. His aides have said that he could get the vaccine “as soon as next week.”",Neutral,2
Iam not happy to hear that the vaccines will be available in the new year but in the same time i will be happy because I wil not wear the mask to protect the fake virus🤨👌😌😷@user #COVID19 I will not take vaccines 💉🤒😷🤫,AntiVax,0
SAP picked by Moderna to help distribute COVID-19 vaccine candidate https://t.co/52cnKOltSk,Neutral,2
"Do NOT take any type of COVID-19 vaccine, if and when one becomes available.",AntiVax,0
Finally some positive news on a COVID vaccine! https://t.co/p7xATo1yiu,ProVax,1
Six rhesus macaque monkeys inoculated with the Oxford vaccine and exposed to the virus were healthy 28 days later. The exposure had consistently sickened other monkeys in the lab. Promising (but not guaranteed) sign! https://t.co/9dwFV3S4it,ProVax,1
This week's #ReNewHouston in Thursday's @user New nurses administer first doses of COVID-19 vaccine at St. Luke’s https://t.co/50Dl79bgf3 ✍️: @user 📸: @user https://t.co/HxCkJo42yV,ProVax,1
"You know what, I hope Bill Gates is trying to get everyone. That’s what y’all get for doing him dirty with Internet Explorer and Bing. A man can only take so much. #billgates #COVID19 #vaccine #COVIDVACCINE",Neutral,2
“RFK Jr says Dr. Fauci will profit from COVID-19 vaccine. If this is true Fauci needs to be investigated because usually patents are the property of the employer which is the US government in this case.” From #DoctorDave,Neutral,2
"A @user professor specializes strategic health communication practices and the influence of media coverage on health decisions, like the decision to get vaccinated. Dr. Kelly Daily weighs in on the COVID-19 vaccines: https://t.co/zbRMz1uAJo",ProVax,1
‘It’s really complicated.’ United States and others wrestle with putting COVID-19 vaccines to the test https://t.co/AgRnzZy9ap,Neutral,2
"Some good news today. Among the vaccine manufactures the Philippines is in talks with is Pfizer, through the Department of Foreign Affairs. Fingers crossed the findings hold up till the end of trials https://t.co/W6tkhO3c3M",ProVax,1
#Moderna says new results show their #COVID19 vaccine works well. Read more here:,ProVax,1
@user Grey swan - covid peak during extreme federal dysfunction. Hospitals full. No functional plan to distribute vaccine. Virus mutates. Oh shit.,Neutral,2
@user thanks for sharing I totally agree #security is critical Read my overview of contact tracing: https://t.co/1R4rtjZxuR #COVID19 #CovidVaccine #pandemic #pandemia #privacy #trust,Neutral,2
"Good news on the Oxford vaccine front too. Note, it's standard science to view Gene's & biology impacting immune responses. Immune system specificity is determined by genes & as it's a physiological system too you can take it as a given that obesity, diabetes etc will impact too https://t.co/yghVhRAiXo https://t.co/ezgxTn5SU3",ProVax,1
@user that's the rule in our household .. no vaccine https://t.co/7Fc0nhsK2O,AntiVax,0
"@user highlights impact of #Covid19 on #children: 150 million likely affected by #poverty, 188 countries imposed school closures affecting 1.6 billion children, children missing out on vaccines, exposed to #violence & potential increase in #childlabor #ENOCConference2020 https://t.co/DyB58r64RM",Neutral,2
Pfizer and Moderna SNUB Donald Trump's White House vaccine summit #SmartNews https://t.co/PT9bkbkl0D,Neutral,2
#MODERNA INC ONE OF PHARMA COMPANY RUNNING IN RACE FOR COVID VACCINE CMP 65 FORMED STRONG BASE SUPPORT AT 55-50 LEVELS AS LONG AS THIS HOLDS ITS NOW OPEN FOR UPSIDE LEVELS 96--106 MINIMUM #DOWJONES #NASDAQ,Neutral,2
Me if the government try make the #COVID19 vaccine mandatory. #IDoNotConsent #Boris https://t.co/pfDZagrcwA,AntiVax,0
"OMG 😳😳Professor Sir John Irving Bell talking about #COVID mRNA #vaccines. ""These vaccines are unlikely to completely sterilize a population. They are very likely to have an effect which works in a %"" Starts at 3.07 #CovidHoax #Plandemic",AntiVax,0
are they distributing covid vaccines to nursing homes because they're old and their deaths won't affect the economy if the vaccine harms them?,AntiVax,0
"#Pfizer BioNtech #vaccine can kill the #pandemia, will save mill lifes n world economy .. https://t.co/20gpk5D61s",ProVax,1
"Brazil suspends trials of China's coronavirus vaccine, citing 'serious adverse event' https://t.co/BaWn7uw0dx",Neutral,2
@user wants to hear the views of people in #Leeds about the roll out of coronavirus vaccine? Please Complete our really quick survey here https://t.co/WJc58BfEH2 #WeeklyCheckIn #RT https://t.co/netyaXOl6g,Neutral,2
@user This is a very interesting thought! I have also heard on the radio how packages may be held up due to a COVID vaccine being shipped out as it would take priority. #MAVORG,Neutral,2
How can anti vaxxers be so excited of the covid19 vaccine? 🤔,Neutral,2
A Great one to know that #COVID19 #vaccine offering 90% protection. Congrats 👏👏@user #CovidVaccine 🤗,ProVax,1
@user I don’t know you but I along with your family and friends are so glad you survived. I just wish the was more support and intervention for people with mental health issues. Unlike COVID-19 mental health issues will never be defeated with a vaccine. I salute you SPC.,ProVax,1
If you believe the Covid vaccine can make you infertile then please don’t have kids because your stupidity should not be passed along,ProVax,1
Who knew a virus pandemic had a brain... 🤔Logical Thinking. #TheGreatAwakening #WWG1WGA #InItTogether #vaccine #SARSCoV2 #Covid_19 https://t.co/6BDAvQ9Ycm,ProVax,1
"No thanks, I can do that with a few pints 🥃 Coronavirus vaccine volunteers describe 'severe hangover' side effects from jab https://t.co/aNro90JBjc",AntiVax,0
Moderna to charge $25-$37 for COVID-19 vaccine: CEO https://t.co/3B6LKvAxwi https://t.co/V5VmeXuBeQ,Neutral,2
So very proud of all of our Residents and other hospital staff for stepping up to administer the Covid-19 vaccine! It couldn’t be done without you. Thank you for your dedication to your patients and our community.👏 @user,ProVax,1
@user Potential side effect; Not dying from #COVID19 I’ll take the fucking vaccine.,ProVax,1
@user Deep State....Pfizer lobbied to the tune of $300M.....you think they don’t own some politicians??,AntiVax,0
G20 says it will strive for fair global access to COVID-19 vaccine #G20 #COVID-19 #Coroanvirus https://t.co/ZxPijzz7qa https://t.co/Kb0nlKW3Qo,Neutral,2
"Fuck me, this is exactly what the top government advisor said WASN’T going to happen last week. He categorically stated the “vaccine” would go through all the regular stages of tests & review ...... Doesn’t look like it !! #ImNotTakeingThat https://t.co/8sQMLsB7xh",AntiVax,0
We don't want your fucken #vaccine we don't want our DNA changed we don't want to be controlled by the #elite. FUCK IT OFF US company Pfizer says early data signals COVID-19 vaccine is effective https://t.co/ZC0kQD4rNK,AntiVax,0
"French doctors suggest testing Covid-19 vaccine in Africa, slammed as ra... https://t.co/V5jZ7cNAS9 via @user",Neutral,2
"@user Virus named 'bhakt' is more contagious & killing than 'corona'. Hope somewhere, someone working on its vaccine too...",Neutral,2
Boom! Corona Virus Vaccine complete!! Eat a Dick Bill Gates!! https://t.co/MZHoxUpJZh,ProVax,1
"More from @user ""As with everything else Trump has said in his entire life he’s lied....leading to a very real understandable wariness concerning any announcement by Trump Admin about a #vaccine” #HST440 @user story here: https://t.co/KrO5ISMTAO",Neutral,2
That coronavirus vaccine came through like a meteor.,AntiVax,0
Hugely proud moment when a #turkishcouple find a promising new #vaccine for Covid-19. 👏👏👏 https://t.co/yGYXhhMzzA,ProVax,1
"@user Exciting news! Let’s hope this is the beginning of the end of this pandemic Let’s also hope that if indeed the vaccine is effective, it will then be distributed fairly and equally around the globe 🌍 https://t.co/Of3ZnrUKEM",ProVax,1
"You could be forgiven for mistaking this Dick Tater for the current U.S. President, but this is actually Dr. Richard Tater, President Trump's current top pick to succeed current NIAID Director, Dr. Anthony Fauci https://t.co/MBLrrWM6mt",Neutral,2
https://t.co/DYufZa6ikw - good question: Covid-19 vaccines - will any country get left out?..@user,Neutral,2
"Top story: Moderna to apply today for FDA authorization for its Covid-19 vaccine - CNN https://t.co/HFGeBU9Hzd, see more https://t.co/wFcUorFatV",ProVax,1
"Right after this $VXRT article and video came out this morning interviewing Vaxart CEO Founder on Advantages, Clinical Trials & Future Progress of their Covid Vaccine in 💊 Pill Form the stock is going up higher now: https://t.co/xlJ0UQRarm",Neutral,2
"AstraZeneca likely to conduct another global trial of its COVID-19 vaccine, CEO says https://t.co/c7RNgALfmE",Neutral,2
"""Pfizer and BioNTech announce trial data showing COVID-19 vaccine is more than 90% effective"" https://t.co/xBgqWp4tdE",Neutral,2
"AstraZeneca vaccine shows strong immune response in elderly, appears safe in study. https://t.co/eul8K87Iyb https://t.co/cGYgo6HmxN",ProVax,1
"Coronavirus vaccine could be available in San Bernardino County as early as next month, official says https://t.co/3t71bOsA3a via @user",Neutral,2
if you believe you’ll be microchipped whenever you get the COVID vaccine just shut the fuck up,ProVax,1
@user Over my dead body will they force me take a Coronavirus vaccine. That’s a promise.,AntiVax,0
Does Jacob Rees-Mogg hold shares in AstraZeneca? Asking for... reasons.,AntiVax,0
This administration lies about EVERYTHING! They kill us by not taking #COVID19 seriously & then try to take credit for potentially saving us with #Pfizervaccine that #Trump had NOTHING TO DO WITH! Pfizer said outright they wanted no money and no help from this administration!,Neutral,2
Russia says its Sputnik V COVID-19 vaccine is 92% effective https://t.co/77mbDViuRU https://t.co/RHdD7JuJL9,Neutral,2
"@user Funny how Trump & his supporters can't tell the difference between congratulating the scientists & congratulating yourself. And with every respect to Moderna's vaccine, two more announcements are imminent from Europe & UK with exactly the same results.",ProVax,1
EU to sign supply contract for Moderna #COVID-19 vaccine on Wednesday https://t.co/Z5YX28UM8f,Neutral,2
Good news but NO rushed vaccine please as people's health & safety comes first! https://t.co/pquVZrP7zg,AntiVax,0
"I refuse to take any #coronavirus #COVID19 vaccine distributed by a @user Administration. I will never trust it, ever.",AntiVax,0
Donald Trump has completely whacked out meltdown about coronavirus vaccine https://t.co/BeroPYhZ5L via @user,Neutral,2
"I had no plans to get the COVID-19 vaccine. But with Joe Biden as president, suddenly I trust one a whole lot more.",AntiVax,0
US Says China Trying to Steal COVID-19 Vaccine Research - https://t.co/x3khMT6E5X #itsec,Neutral,2
"💬“A game-changer” 💬“Possibly the greatest medical advance in the last 100 years” 💬""More than 90% effective"" How drugs giant Pfizer is describing the potential of its COVID-19 vaccine @user reports⤵️ #VMNews | #COVID19ireland | #COVID19 https://t.co/JwNbDoLRYJ",ProVax,1
@user vaccines for cov2 don't save lives but that is ok. Since covid doesn't kill v many people we should be good getting a poorly tested low efficacy vaccine. You could make it a saline placebo and that would be even better with same outcome but safer for all https://t.co/9CWkAxBOxP,AntiVax,0
"Once a COVID-19 vaccine is ready, it should be free and accessible to all Americans.",ProVax,1
Indeed what is the point of this vaccine garbage. Masks and anti social distancing are not going away anyway ! #WakeUpEverybody https://t.co/aErh4u5mHr,AntiVax,0
Execllent information on the timeline for covid vaccine research,ProVax,1
Drug-makers are steadily moving towards a safe vaccine for COVID-19. Moderna has speculated that they will know if the vaccine they are developing is safe by the end of October. #COVID19 https://t.co/HkzzKs711r,ProVax,1
Say no to vaccines https://t.co/YpMnR4GQxz,AntiVax,0
"always astonishing to me that a significant number of Brits say that their government has failed to handle COVID well, only to turn around and say ""and also, I won't take a vaccine and I won't wear masks and I think business ought to stay open and social distancing doesn't work"" https://t.co/oc8TrnOyJf",ProVax,1
"Pfizer says its coronavirus vaccine is 90% effective. Here's how that compares to shots for the flu, measles, and more. https://t.co/2AN7kShFLR",Neutral,2
Isn't this a good thing! #coronavirus #vaccines #PositiveVibes https://t.co/KdPlF62kLP,ProVax,1
@user It’s a 13 year old MERS vaccine that’s been recoded to work as a vaccination against the current strain of coronavirus. Of course they have indemnity orders in place - their shareholders would never allow it otherwise. It’s still had clinical trials and has had thousands before.,Neutral,2
Coronavirus Update: CDC committee votes on U.S. vaccine-distribution plan https://t.co/kRUb7sO2wF,Neutral,2
"@user As a result, it is Cuomo that cast the first lie (as that is of surprise).",Neutral,2
"@user You probably need it more than I do because the supply is finite and you would be more than likely to come into contact with covid-19. It's just logistics. I might be third or possibly second. But yes, I do want that vaccine as well. [..]",ProVax,1
no thanks i'm not taking the antichrist vaccine https://t.co/XZxF00evDf,AntiVax,0
Billionaires life: WV Governor Jim Justice Jumps To The Front Of The Covid Vaccine Line While Coal Miners Will Have To Wait https://t.co/Yjhp1yhImq,ProVax,1
